trial,epoch,winRate,tieRate
18,36,0.94,0.06
18,38,0.96,0.02
18,40,0.92,0.08
18,42,0.92,0.02
18,44,0.84,0.06
18,46,0.86,0.12
18,48,0.78,0.2
19,0,0.84,0.16
19,2,0.44,0.0
19,4,0.46,0.0
19,6,0.0,0.9
19,8,0.46,0.0
19,10,0.92,0.08
19,12,0.0,0.86
19,14,0.9,0.1
19,16,0.98,0.02
19,18,0.94,0.06
19,20,0.84,0.14
19,22,0.9,0.1
19,24,0.86,0.08
19,26,0.92,0.04
19,28,0.86,0.1
19,30,0.98,0.02
19,32,0.92,0.08
19,34,0.84,0.12
19,36,0.9,0.08
19,38,0.9,0.1
19,40,0.92,0.06
19,42,0.9,0.04
19,44,0.92,0.04
19,46,0.96,0.02
19,48,0.96,0.04
20,0,0.9,0.1
20,2,0.62,0.0
20,4,0.9,0.06
20,6,0.0,0.88
20,8,0.4,0.0
20,10,0.9,0.08
20,12,0.9,0.1
20,14,0.86,0.08
20,16,0.9,0.08
20,18,0.98,0.0
20,20,0.8,0.16
20,22,0.96,0.04
20,24,0.94,0.04
20,26,0.86,0.12
20,28,0.84,0.12
20,30,0.94,0.06
20,32,0.9,0.08
20,34,0.88,0.1
20,36,0.98,0.0
20,38,0.94,0.06
20,40,0.9,0.06
20,42,0.88,0.1
20,44,0.9,0.1
20,46,0.88,0.08
20,48,0.9,0.08
21,0,0.0,0.92
21,2,0.96,0.02
21,4,0.0,0.96
21,6,0.9,0.1
21,8,0.88,0.08
21,10,0.36,0.0
21,12,0.96,0.04
21,14,0.94,0.02
21,16,0.92,0.08
21,18,0.96,0.02
21,20,0.94,0.06
21,22,0.82,0.14
21,24,0.9,0.08
21,26,0.92,0.04
21,28,0.98,0.02
21,30,0.9,0.08
21,32,0.82,0.14
21,34,0.92,0.08
21,36,0.94,0.02
21,38,0.96,0.04
21,40,0.84,0.12
21,42,0.84,0.14
21,44,0.96,0.04
21,46,0.94,0.04
21,48,0.84,0.1
22,0,0.32,0.0
22,2,0.9,0.04
22,4,0.94,0.06
22,6,0.0,0.9
22,8,0.0,0.92
22,10,0.9,0.08
22,12,0.88,0.1
22,14,0.0,0.88
22,16,0.36,0.0
22,18,0.9,0.08
22,20,0.4,0.0
22,22,0.88,0.12
22,24,0.86,0.14
22,26,0.9,0.08
22,28,0.9,0.1
22,30,0.94,0.04
22,32,0.84,0.1
22,34,0.92,0.08
22,36,0.86,0.12
22,38,0.9,0.08
22,40,0.88,0.06
22,42,0.84,0.16
22,44,0.86,0.14
22,46,0.82,0.18
22,48,0.92,0.08
23,0,0.76,0.22
23,2,0.84,0.1
23,4,0.0,0.88
23,6,0.52,0.0
23,8,0.52,0.0
23,10,0.0,0.92
23,12,0.44,0.0
23,14,0.9,0.08
23,16,0.36,0.0
23,18,0.88,0.06
23,20,0.92,0.08
23,22,0.28,0.0
23,24,0.36,0.0
23,26,0.52,0.0
23,28,0.52,0.0
23,30,0.88,0.08
23,32,0.94,0.06
23,34,0.88,0.08
23,36,0.92,0.04
23,38,0.94,0.06
23,40,0.94,0.06
23,42,0.84,0.16
23,44,0.92,0.04
23,46,0.92,0.08
23,48,0.86,0.12
24,0,0.96,0.04
24,2,0.0,0.96
24,4,0.0,0.76
24,6,0.96,0.02
24,8,0.4,0.0
24,10,0.42,0.0
24,12,0.48,0.0
24,14,0.62,0.0
24,16,0.54,0.0
24,18,0.52,0.0
24,20,0.42,0.0
24,22,0.5,0.0
24,24,0.42,0.0
24,26,0.94,0.06
24,28,0.9,0.06
24,30,0.9,0.06
24,32,0.5,0.0
24,34,0.72,0.0
24,36,0.56,0.0
24,38,0.42,0.0
24,40,0.36,0.0
24,42,0.4,0.0
24,44,0.28,0.0
24,46,0.32,0.0
24,48,0.58,0.0
25,0,0.4,0.0
25,2,0.0,0.88
25,4,0.0,0.92
25,6,0.88,0.1
25,8,0.3,0.0
25,10,0.36,0.0
25,12,0.28,0.0
25,14,0.0,0.86
25,16,0.92,0.08
25,18,0.84,0.16
25,20,0.92,0.08
25,22,0.88,0.08
25,24,0.92,0.08
25,26,0.88,0.02
25,28,0.94,0.06
25,30,0.84,0.06
25,32,0.94,0.06
25,34,0.76,0.18
25,36,0.84,0.14
25,38,0.92,0.06
25,40,0.92,0.06
25,42,0.92,0.04
25,44,0.9,0.06
25,46,0.92,0.08
25,48,0.92,0.04
26,0,0.92,0.08
26,2,0.32,0.0
26,4,0.0,0.86
26,6,0.84,0.12
26,8,0.88,0.1
26,10,0.84,0.1
26,12,0.38,0.0
26,14,0.48,0.0
26,16,0.0,0.92
26,18,0.92,0.06
26,20,0.0,0.82
26,22,0.94,0.02
26,24,0.48,0.0
26,26,0.66,0.0
26,28,0.48,0.0
26,30,0.64,0.0
26,32,0.5,0.0
26,34,0.46,0.0
26,36,0.52,0.0
26,38,0.52,0.0
26,40,0.38,0.0
26,42,0.6,0.0
26,44,0.52,0.0
26,46,0.52,0.0
26,48,0.92,0.08
27,0,0.0,0.96
27,2,0.86,0.14
27,4,0.0,0.82
27,6,0.0,1.0
27,8,0.48,0.0
27,10,0.32,0.0
27,12,0.68,0.0
27,14,0.58,0.0
27,16,0.58,0.0
27,18,0.52,0.0
27,20,0.46,0.0
27,22,0.54,0.0
27,24,0.36,0.0
27,26,0.6,0.0
27,28,0.5,0.0
27,30,0.4,0.0
27,32,0.54,0.0
27,34,0.52,0.0
27,36,0.48,0.0
27,38,0.5,0.0
27,40,0.46,0.0
27,42,0.58,0.0
27,44,0.42,0.0
27,46,0.52,0.0
27,48,0.52,0.0
28,0,0.56,0.0
28,2,0.94,0.06
28,4,0.88,0.08
28,6,0.46,0.0
28,8,0.92,0.06
28,10,0.38,0.0
28,12,0.58,0.0
28,14,0.44,0.0
28,16,0.96,0.04
28,18,0.96,0.0
28,20,0.9,0.08
28,22,0.92,0.06
28,24,0.86,0.12
28,26,0.94,0.04
28,28,0.94,0.06
28,30,0.94,0.04
28,32,0.92,0.06
28,34,0.92,0.08
28,36,0.9,0.1
28,38,0.84,0.12
28,40,0.94,0.04
28,42,0.86,0.12
28,44,0.9,0.08
28,46,0.9,0.08
28,48,0.9,0.1
29,0,0.0,0.92
29,2,0.88,0.08
29,4,0.58,0.0
29,6,0.0,0.84
29,8,0.0,0.86
29,10,0.88,0.08
29,12,0.94,0.06
29,14,0.94,0.04
29,16,0.96,0.02
29,18,0.36,0.0
29,20,0.66,0.0
29,22,0.94,0.04
29,24,0.94,0.06
29,26,0.92,0.06
29,28,0.88,0.12
29,30,0.96,0.04
29,32,0.88,0.08
29,34,0.94,0.06
29,36,0.86,0.06
29,38,0.88,0.06
29,40,0.9,0.08
29,42,0.9,0.1
29,44,0.92,0.08
29,46,0.9,0.1
29,48,0.94,0.04
30,0,0.0,0.86
30,2,0.94,0.06
30,4,0.36,0.0
30,6,0.54,0.0
30,8,0.0,0.9
30,10,0.92,0.06
30,12,0.32,0.0
